ticker,label,section,harmonized_name,application_count,reason
MRVL,Marvell,matched,MARVELL AISA PTE LTD,1,
MRVL,Marvell,matched,MARVELLWORLD TRADE LTD,1,
MRVL,Marvell,matched,MARVELL WORLD TRADE INTERNAT,1,
MRVL,Marvell,matched,MARVELL INT LLC,1,
MRVL,Marvell,matched,MARVELL WORLD TRADE LID,1,
MRVL,Marvell,matched,MARVELL ISRAEL MIL LTD,1,
MRVL,Marvell,matched,MARVELL INTERNAT TECNOLOGY LTD,1,
MRVL,Marvell,matched,MARVELL TOWNSEND FURTHER PROC B V,1,
MRVL,Marvell,matched,MARVELL WORL TRADE LTD,1,
MRVL,Marvell,matched,MARVELL DSPC LTD,1,
MU,Micron,matched,MICRON TECHNOLOGY INC,44172,
MU,Micron,matched,MICRON ELECTRONICS INC,402,
MU,Micron,matched,MICRON SEMICONDUCTOR INC,156,
MU,Micron,matched,MICRON COMMUNICATIONS INC,97,
MU,Micron,matched,MICRON DISPLAY TECH INC,88,
MU,Micron,matched,MICRON QUANTUM DEVICES INC,55,
MU,Micron,matched,MICRON TECHNOLOGIES INC,51,
MU,Micron,matched,MICRON TECH INC,45,
MU,Micron,matched,MICRON TECHNOLGY INC,29,
MU,Micron,matched,MICRONTECHNOLOGY INC,8,
MU,Micron,matched,MICRON TECHNOLOGY CORP,4,
MU,Micron,matched,MICRON CUSTOM MANUFACTURING SE,4,
MU,Micron,matched,MICRON TECHOLOGY INC,4,
MU,Micron,matched,MICRON TECH,3,
MU,Micron,matched,MICRON TECHNOLGOY INC,3,
MU,Micron,matched,MICRON TECNOLOGY INC,3,
MU,Micron,matched,MICRON ELETRONICS INC,3,
MU,Micron,matched,MICRON TECH LNC,2,
MU,Micron,matched,MICRON TECHNNOLOGY INC,2,
MU,Micron,matched,MICRON TECHNLOGY INC,2,
MU,Micron,matched,MICRON COMMUNICATION INC,2,
MU,Micron,matched,MICRON TECHONOLOGY INC,2,
MU,Micron,matched,MICRON TECHNOLOGY LNC,2,
MU,Micron,matched,MICRON TECHNOLOLGY INC,2,
MU,Micron,matched,MICRONPC LLC,2,
MU,Micron,matched,MICRON TEHNOLOGY INC,2,
MU,Micron,matched,MICRON PC LLC,2,
MU,Micron,matched,MICRON TECH INC/,1,
MU,Micron,matched,MICRON TECHNOIOGY INC,1,
MU,Micron,matched,MICRON TECH WAY,1,
MU,Micron,matched,MICRON MEMORY JAPAN INC,1,
MU,Micron,matched,MICRON TEDHNOLOGY INC,1,
MU,Micron,matched,MICRON TECHNOLOGIES NC,1,
MU,Micron,matched,MICRON TECHNOLOGGY INC,1,
MU,Micron,matched,MICRON TECHNOLOGY INC AND IDAH,1,
MU,Micron,matched,MICRON TECHNOLOGH INC,1,
MU,Micron,matched,MICRONBTECHNOLOGY INC,1,
MU,Micron,matched,MICRON TCHNOLOGY INC,1,
MU,Micron,matched,MICRON TECHNONLOGY INC,1,
MU,Micron,matched,MICRON TECHNLOLOGY INC,1,
MU,Micron,matched,MICRON TECHNOLNOLOGY INC,1,
MU,Micron,matched,MICRON TECHNOLOGY IN,1,
MU,Micron,matched,MICRON DISPLAY TECHNOLOGY,1,
MU,Micron,matched,MICRON DISPLAY,1,
MU,Micron,matched,MICRON CUSTOM MANUFACTURING IN,1,
MU,Micron,matched,MICRONG TECHNOLOGY INC,1,
MU,Micron,matched,MICRON TECHNOLOGY IN C,1,
MU,Micron,matched,MICRON TECHNOLOGY INCV,1,
MU,Micron,matched,MICRON TECHNOLOGY INST,1,
MU,Micron,matched,MICRON TECHNOLOPGY INC,1,
MU,Micron,matched,MICRON TECHNOLOGY ING,1,
MU,Micron,matched,MICRON TECHNOLOGIES CORP,1,
MU,Micron,matched,MICRON TECHONLOGY INC,1,
MU,Micron,matched,MICRON TECH HOLDING INC,1,
MU,Micron,matched,MICRON DISPLAY INC,1,
MU,Micron,matched,MICRON COMMUNICATIONS,1,
MU,Micron,matched,MICRON TECH LICENSING LLC,1,
MU,Micron,matched,MICRON TECHNOLOGY INCL,1,
MU,Micron,matched,MICRON ELECTRONICS LLP,1,
MU,Micron,matched,MICRON TECHNOLOGY LICENSING LLC,1,
MU,Micron,matched,MICRON TECHNOLOGY LLC,1,
MU,Micron,matched,MICRON TECHNOGY INC,1,
MU,Micron,matched,MICRON TECHNOLOGOY INC,1,
MU,Micron,matched,MICRON ELECTONICS INC,1,
MU,Micron,excluded,MICRONAS GMBH,330,"excluded by MICRONAS%: Micronas GmbH/Intermetall — German semiconductor company (Hall sensors), unrelated to Micron Technology"
MU,Micron,excluded,MICRONIC LASER SYSTEMS AB,128,"excluded by MICRONIC%: Micronic Laser Systems / Mydata AB — Swedish lithography company (and MICRONICS* entities), unrelated to Micron Technology"
MU,Micron,excluded,MICRONICS INC,66,"excluded by MICRONIC%: Micronic Laser Systems / Mydata AB — Swedish lithography company (and MICRONICS* entities), unrelated to Micron Technology"
MU,Micron,excluded,MICRON DEVICES LLC,55,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONAS INTERMETALL GMBH,32,"excluded by MICRONAS%: Micronas GmbH/Intermetall — German semiconductor company (Hall sensors), unrelated to Micron Technology"
MU,Micron,excluded,MICRON OPTICS INC,29,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONOVA MFG INC,21,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONEL AG,21,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONAS USA INC,21,"excluded by MICRONAS%: Micronas GmbH/Intermetall — German semiconductor company (Hall sensors), unrelated to Micron Technology"
MU,Micron,excluded,MICRONVISION CORP,20,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONIT MICROFLUIDICS BV,17,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONAS SEMICONDUCTORS INC,15,"excluded by MICRONAS%: Micronas GmbH/Intermetall — German semiconductor company (Hall sensors), unrelated to Micron Technology"
MU,Micron,excluded,MICRONAS HOLDING GMBH,15,"excluded by MICRONAS%: Micronas GmbH/Intermetall — German semiconductor company (Hall sensors), unrelated to Micron Technology"
MU,Micron,excluded,MICRONET MEDICAL INC,11,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONIX CORP,10,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONOVA MANUFACTURING INC,9,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONICS COMPUTERS INC,9,"excluded by MICRONIC%: Micronic Laser Systems / Mydata AB — Swedish lithography company (and MICRONICS* entities), unrelated to Micron Technology"
MU,Micron,excluded,MICRONEB TECH HOLDINGS INC,9,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONOMA INC,8,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRON MACHINERY CO LTD,8,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRON CORP,7,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONIX PARTNERS,7,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONOVUS LLC,7,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRON OPTOELECTRONICS CO LTD,6,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONIC AB,6,"excluded by MICRONIC%: Micronic Laser Systems / Mydata AB — Swedish lithography company (and MICRONICS* entities), unrelated to Micron Technology"
MU,Micron,excluded,MICRONET UNION TECH CHENGDU CO LTD,6,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONICS JAPAN CO LTD,6,"excluded by MICRONIC%: Micronic Laser Systems / Mydata AB — Swedish lithography company (and MICRONICS* entities), unrelated to Micron Technology"
MU,Micron,excluded,MICRON INSTR,6,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONIT HOLDING B V,6,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRON MOTION INC,5,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONIZING TECH LLC,5,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRON SEPARATIONS INC,5,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONIC LASER SYSTEMS,5,"excluded by MICRONIC%: Micronic Laser Systems / Mydata AB — Swedish lithography company (and MICRONICS* entities), unrelated to Micron Technology"
MU,Micron,excluded,MICRON MEDICAL LLC,5,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONETICS INC,5,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONOC INC,5,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRON CO LTD,5,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONIC TECH INC,5,"excluded by MICRONIC%: Micronic Laser Systems / Mydata AB — Swedish lithography company (and MICRONICS* entities), unrelated to Micron Technology"
MU,Micron,excluded,MICRONEEDLES INC,4,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONIZER COMPANY,4,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
MU,Micron,excluded,MICRONET TECH INC,4,not in the curated entity allowlist (include_name_like) — unrelated company caught by the broad prefix
