lag_type,n_companies,mean_of_company_means,min_company_mean,max_company_mean,range_months,cv_across_companies
filing_to_grant,4,33.25,27.93,42.84,14.91,0.197
filing_to_publication,4,11.11,6.27,15.37,9.1,0.364
