ticker,concept,fy_start,fy_end,fy_value,n_quarters_found,derived,deviation_pct,status
NVDA,revenue,2007-01-29,2008-01-27,4097860000.0,0,False,,cannot derive Q4 (0 early quarters inside FY)
NVDA,revenue,2008-01-28,2009-01-25,3424859000.0,2,False,,cannot derive Q4 (2 early quarters inside FY)
NVDA,revenue,2009-01-26,2010-01-31,3326445000.0,4,True,0.0,ok
NVDA,revenue,2010-02-01,2011-01-30,3543309000.0,4,True,0.0,ok
NVDA,revenue,2011-01-31,2012-01-29,3997930000.0,4,True,0.0,ok
NVDA,revenue,2012-01-30,2013-01-27,4280159000.0,4,True,0.0,ok
NVDA,revenue,2013-01-28,2014-01-26,4130162000.0,4,True,0.014160146006838827,ok
NVDA,revenue,2014-01-27,2015-01-25,4681507000.0,4,True,0.0,ok
NVDA,revenue,2015-01-26,2016-01-31,5010000000.0,4,True,0.0,ok
NVDA,revenue,2016-02-01,2017-01-29,6910000000.0,4,True,0.0,ok
NVDA,revenue,2017-01-30,2018-01-28,9714000000.0,4,True,0.0,ok
NVDA,revenue,2018-01-29,2019-01-27,11716000000.0,4,True,0.0,ok
NVDA,revenue,2019-01-28,2020-01-26,10918000000.0,4,True,0.0,ok
NVDA,revenue,2020-01-27,2021-01-31,16675000000.0,3,True,,ok
NVDA,revenue,2021-02-01,2022-01-30,26914000000.0,3,True,,ok
NVDA,revenue,2022-01-31,2023-01-29,26974000000.0,3,True,,ok
NVDA,revenue,2023-01-30,2024-01-28,60922000000.0,3,True,,ok
NVDA,revenue,2024-01-29,2025-01-26,130497000000.0,3,True,,ok
NVDA,revenue,2025-01-27,2026-01-25,215938000000.0,3,True,,ok
NVDA,cost_of_revenue,2007-01-29,2008-01-27,2228580000.0,0,False,,cannot derive Q4 (0 early quarters inside FY)
NVDA,cost_of_revenue,2008-01-28,2009-01-25,2250590000.0,2,False,,cannot derive Q4 (2 early quarters inside FY)
NVDA,cost_of_revenue,2009-01-26,2010-01-31,2149522000.0,4,True,0.0,ok
NVDA,cost_of_revenue,2010-02-01,2011-01-30,2134219000.0,4,True,0.0,ok
NVDA,cost_of_revenue,2011-01-31,2012-01-29,1941413000.0,4,True,0.0,ok
NVDA,cost_of_revenue,2012-01-30,2013-01-27,2053816000.0,4,True,0.0,ok
NVDA,cost_of_revenue,2013-01-28,2014-01-26,1862399000.0,4,True,0.07606128366283692,ok
NVDA,cost_of_revenue,2014-01-27,2015-01-25,2082030000.0,4,True,0.0,ok
NVDA,cost_of_revenue,2015-01-26,2016-01-31,2199000000.0,4,True,0.0,ok
NVDA,cost_of_revenue,2016-02-01,2017-01-29,2847000000.0,4,True,0.0,ok
NVDA,cost_of_revenue,2017-01-30,2018-01-28,3892000000.0,4,True,0.0,ok
NVDA,cost_of_revenue,2018-01-29,2019-01-27,4545000000.0,4,True,0.0,ok
NVDA,cost_of_revenue,2019-01-28,2020-01-26,4150000000.0,4,True,0.0,ok
NVDA,cost_of_revenue,2020-01-27,2021-01-31,6279000000.0,3,True,,ok
NVDA,cost_of_revenue,2021-02-01,2022-01-30,9439000000.0,3,True,,ok
NVDA,cost_of_revenue,2022-01-31,2023-01-29,11618000000.0,3,True,,ok
NVDA,cost_of_revenue,2023-01-30,2024-01-28,16621000000.0,3,True,,ok
NVDA,cost_of_revenue,2024-01-29,2025-01-26,32639000000.0,3,True,,ok
NVDA,cost_of_revenue,2025-01-27,2026-01-25,62475000000.0,3,True,,ok
NVDA,gross_profit,2007-01-29,2008-01-27,1869280000.0,0,False,,cannot derive Q4 (0 early quarters inside FY)
NVDA,gross_profit,2008-01-28,2009-01-25,1174269000.0,2,False,,cannot derive Q4 (2 early quarters inside FY)
NVDA,gross_profit,2009-01-26,2010-01-31,1176923000.0,4,True,0.0,ok
NVDA,gross_profit,2010-02-01,2011-01-30,1409090000.0,4,True,0.0,ok
NVDA,gross_profit,2011-01-31,2012-01-29,2056517000.0,4,True,0.0,ok
NVDA,gross_profit,2012-01-30,2013-01-27,2226343000.0,4,True,0.0,ok
NVDA,gross_profit,2013-01-28,2014-01-26,2267763000.0,4,True,-0.03825795547548827,ok
NVDA,gross_profit,2014-01-27,2015-01-25,2599477000.0,4,True,0.0,ok
NVDA,gross_profit,2015-01-26,2016-01-31,2811000000.0,4,True,0.0,ok
NVDA,gross_profit,2016-02-01,2017-01-29,4063000000.0,4,True,0.0,ok
NVDA,gross_profit,2017-01-30,2018-01-28,5822000000.0,4,True,0.0,ok
NVDA,gross_profit,2018-01-29,2019-01-27,7171000000.0,4,True,0.0,ok
NVDA,gross_profit,2019-01-28,2020-01-26,6768000000.0,4,True,0.0,ok
NVDA,gross_profit,2020-01-27,2021-01-31,10396000000.0,3,True,,ok
NVDA,gross_profit,2021-02-01,2022-01-30,17475000000.0,3,True,,ok
NVDA,gross_profit,2022-01-31,2023-01-29,15356000000.0,3,True,,ok
NVDA,gross_profit,2023-01-30,2024-01-28,44301000000.0,3,True,,ok
NVDA,gross_profit,2024-01-29,2025-01-26,97858000000.0,3,True,,ok
NVDA,gross_profit,2025-01-27,2026-01-25,153463000000.0,3,True,,ok
NVDA,operating_income,2007-01-29,2008-01-27,836346000.0,0,False,,cannot derive Q4 (0 early quarters inside FY)
NVDA,operating_income,2008-01-28,2009-01-25,-70700000.0,2,False,,cannot derive Q4 (2 early quarters inside FY)
NVDA,operating_income,2009-01-26,2010-01-31,-98945000.0,3,True,,ok
NVDA,operating_income,2010-02-01,2011-01-30,255747000.0,3,True,,ok
NVDA,operating_income,2011-01-31,2012-01-29,648299000.0,3,True,,ok
NVDA,operating_income,2012-01-30,2013-01-27,648239000.0,3,True,,ok
NVDA,operating_income,2013-01-28,2014-01-26,496227000.0,3,True,,ok
NVDA,operating_income,2014-01-27,2015-01-25,758989000.0,3,True,,ok
NVDA,operating_income,2015-01-26,2016-01-31,747000000.0,3,True,,ok
NVDA,operating_income,2016-02-01,2017-01-29,1934000000.0,3,True,,ok
NVDA,operating_income,2017-01-30,2018-01-28,3210000000.0,3,True,,ok
NVDA,operating_income,2018-01-29,2019-01-27,3804000000.0,3,True,,ok
NVDA,operating_income,2019-01-28,2020-01-26,2846000000.0,3,True,,ok
NVDA,operating_income,2020-01-27,2021-01-31,4532000000.0,3,True,,ok
NVDA,operating_income,2021-02-01,2022-01-30,10041000000.0,3,True,,ok
NVDA,operating_income,2022-01-31,2023-01-29,4224000000.0,3,True,,ok
NVDA,operating_income,2023-01-30,2024-01-28,32972000000.0,3,True,,ok
NVDA,operating_income,2024-01-29,2025-01-26,81453000000.0,3,True,,ok
NVDA,operating_income,2025-01-27,2026-01-25,130387000000.0,3,True,,ok
AMD,revenue,2007-12-30,2008-12-27,5808000000.0,0,False,,cannot derive Q4 (0 early quarters inside FY)
AMD,revenue,2008-12-28,2009-12-26,5403000000.0,2,False,,cannot derive Q4 (2 early quarters inside FY)
AMD,revenue,2009-12-27,2010-12-25,6494000000.0,4,True,0.0,ok
AMD,revenue,2010-12-26,2011-12-31,6568000000.0,4,True,0.0,ok
AMD,revenue,2012-01-01,2012-12-29,5422000000.0,4,True,0.0,ok
AMD,revenue,2012-12-30,2013-12-28,5299000000.0,4,True,0.0,ok
AMD,revenue,2013-12-29,2014-12-27,5506000000.0,4,True,0.0,ok
AMD,revenue,2014-12-28,2015-12-26,3991000000.0,4,True,0.0,ok
AMD,revenue,2015-12-27,2016-12-31,4319000000.0,4,True,-4.076322636600174,direct Q4 fact deviates from derived Q4
AMD,revenue,2017-01-01,2017-12-30,5253000000.0,4,True,0.0,ok
AMD,revenue,2017-12-31,2018-12-29,6475000000.0,4,True,0.0,ok
AMD,revenue,2018-12-30,2019-12-28,6731000000.0,4,True,0.0,ok
AMD,revenue,2019-12-29,2020-12-26,9763000000.0,4,True,0.0,ok
AMD,revenue,2020-12-27,2021-12-25,16434000000.0,3,True,,ok
AMD,revenue,2021-12-26,2022-12-31,23601000000.0,3,True,,ok
AMD,revenue,2023-01-01,2023-12-30,22680000000.0,3,True,,ok
AMD,revenue,2023-12-31,2024-12-28,25785000000.0,3,True,,ok
AMD,revenue,2024-12-29,2025-12-27,34639000000.0,3,True,,ok
AMD,cost_of_revenue,2007-12-30,2008-12-27,3488000000.0,0,False,,cannot derive Q4 (0 early quarters inside FY)
AMD,cost_of_revenue,2008-12-28,2009-12-26,3131000000.0,2,False,,cannot derive Q4 (2 early quarters inside FY)
AMD,cost_of_revenue,2009-12-27,2010-12-25,3533000000.0,4,True,0.0,ok
AMD,cost_of_revenue,2010-12-26,2011-12-31,3628000000.0,4,True,0.0,ok
AMD,cost_of_revenue,2012-01-01,2012-12-29,4187000000.0,4,True,0.0,ok
AMD,cost_of_revenue,2012-12-30,2013-12-28,3321000000.0,4,True,0.0,ok
AMD,cost_of_revenue,2013-12-29,2014-12-27,3667000000.0,4,True,0.0,ok
AMD,cost_of_revenue,2014-12-28,2015-12-26,2911000000.0,4,True,0.0,ok
AMD,cost_of_revenue,2015-12-27,2016-12-31,3316000000.0,4,True,-5.269761606022585,direct Q4 fact deviates from derived Q4
AMD,cost_of_revenue,2017-01-01,2017-12-30,3466000000.0,4,True,0.0,ok
AMD,cost_of_revenue,2017-12-31,2018-12-29,4028000000.0,4,True,0.0,ok
AMD,cost_of_revenue,2018-12-30,2019-12-28,3863000000.0,4,True,0.0,ok
AMD,cost_of_revenue,2019-12-29,2020-12-26,5416000000.0,4,True,0.0,ok
AMD,cost_of_revenue,2020-12-27,2021-12-25,8505000000.0,3,True,,ok
