ticker,quarter,patent_filing_count,p_high_filtered,p_high_smoothed,viterbi_state,caveat
NVDA,2005Q1,36,7.214935418490329e-12,3.663873550132468e-12,0,"filtered probs are causal in observations but parameters are full-sample (future leaks via parameters); true OOS = expanding-window, Step 5"
NVDA,2005Q2,51,0.03943483948592261,0.053077471398687556,0,
NVDA,2005Q3,46,0.03214140501078157,0.20558447552161913,0,
NVDA,2005Q4,159,0.9994615976341034,0.9994223154028931,1,
NVDA,2006Q1,44,0.6193018982209358,0.9046430152466656,1,
NVDA,2006Q2,76,0.8458864724125285,0.9717149412869539,1,
NVDA,2006Q3,77,0.9357256544803417,0.9912672719132535,1,
NVDA,2006Q4,177,0.9999974904071194,0.9999964877844437,1,
NVDA,2007Q1,41,0.5499475515886412,0.8723041027691256,1,
NVDA,2007Q2,74,0.7826813777858829,0.9589402666500892,1,
NVDA,2007Q3,79,0.9303579213900492,0.9904921647963795,1,
NVDA,2007Q4,217,0.9999999466348456,0.9999995120060188,1,
NVDA,2008Q1,33,0.35968790518773347,0.09437371304978483,0,
NVDA,2008Q2,38,0.05587015110221966,0.05464712302767535,0,
NVDA,2008Q3,45,0.03222745221260775,0.1574990280301928,0,
NVDA,2008Q4,117,0.9691300016822145,0.7601611866054947,1,
NVDA,2009Q1,20,0.1077297609990493,0.013716077020267196,0,
NVDA,2009Q2,33,0.013519686806624815,0.003983517649436893,0,
NVDA,2009Q3,37,0.01151192786548027,0.027587325308713155,0,
NVDA,2009Q4,99,0.8257952906317204,0.3219540608979974,0,
NVDA,2010Q1,15,0.03110193055211919,0.003342339482213628,0,
NVDA,2010Q2,31,0.007277600661013107,0.0008584893808370214,0,
NVDA,2010Q3,45,0.02363966001043034,0.0024747433757389935,0,
NVDA,2010Q4,27,0.00470730305019067,0.0005079895187212769,0,
NVDA,2011Q1,34,0.008092621413781885,0.001116555384194328,0,
NVDA,2011Q2,49,0.034679889040907796,0.005221916675047181,0,
NVDA,2011Q3,38,0.014594670675616747,0.0077655956842838094,0,
NVDA,2011Q4,49,0.03628685527943082,0.06171020545696865,0,
NVDA,2012Q1,56,0.07919065811480588,0.25974028773138985,0,
NVDA,2012Q2,64,0.19384926039164815,0.6394333121181295,1,
NVDA,2012Q3,92,0.8609073512740416,0.9797025505014443,1,
NVDA,2012Q4,287,0.9999999999119495,0.9999999999891998,1,
NVDA,2013Q1,146,0.9999696068493051,0.9999961020902587,1,
NVDA,2013Q2,157,0.999989557471718,0.9999986608768707,1,
NVDA,2013Q3,171,0.9999973206023269,0.9999996562564797,1,
NVDA,2013Q4,143,0.9999593221182694,0.9999941418824881,1,
NVDA,2014Q1,129,0.9998414533712923,0.9984149083454298,1,
NVDA,2014Q2,12,0.06796029983073507,0.0072300732510178125,0,
NVDA,2014Q3,12,0.001444217863791114,0.00014399996745380263,0,
NVDA,2014Q4,6,0.0005239645530902614,5.403226478305394e-05,0,
NVDA,2015Q1,29,0.004839221817015888,0.0005094641903661762,0,
NVDA,2015Q2,32,0.006679636978577331,0.0007619914149651411,0,
NVDA,2015Q3,41,0.016080604652779853,0.0019442918983924164,0,
NVDA,2015Q4,46,0.027644798634559174,0.0029274231212948767,0,
NVDA,2016Q1,30,0.006460351052789183,0.0006490409544822003,0,
NVDA,2016Q2,12,0.0009742052117769814,9.740671528351464e-05,0,
NVDA,2016Q3,12,0.0009347895913206323,9.569880673876774e-05,0,
NVDA,2016Q4,27,0.004000603316618955,0.0004084127528287201,0,
NVDA,2017Q1,25,0.003373803931956284,0.00034198670331456654,0,
NVDA,2017Q2,22,0.0025111272532050595,0.00025201569033773117,0,
NVDA,2017Q3,15,0.001265413504593157,0.00012789435645680486,0,
NVDA,2017Q4,20,0.00203580865458658,0.00023441879328851042,0,
NVDA,2018Q1,42,0.017096387595877373,0.002080829709766501,0,
NVDA,2018Q2,23,0.003055946648019712,0.0030489234910314046,0,
NVDA,2018Q3,48,0.030442389427685335,0.11913033267901393,0,
NVDA,2018Q4,66,0.179504336366262,0.5993455473409206,1,
NVDA,2019Q1,87,0.7822071721284602,0.9489252569772372,1,
NVDA,2019Q2,70,0.8475987392572677,0.9763818873823121,1,
NVDA,2019Q3,95,0.9882848923786947,0.9982620035660937,1,
NVDA,2019Q4,83,0.9847738891149135,0.9979076156019191,1,
NVDA,2020Q1,92,0.9933880121089134,0.9991450238386835,1,
NVDA,2020Q2,124,0.9997253799180778,0.9999647643006759,1,
NVDA,2020Q3,145,0.9999664144692764,0.9999956229542887,1,
NVDA,2020Q4,105,0.9983703632797994,0.999790138190153,1,
NVDA,2021Q1,123,0.9997115469402711,0.9999629972855312,1,
NVDA,2021Q2,156,0.9999884625099121,0.9999985202727691,1,
NVDA,2021Q3,153,0.9999846011137266,0.9999980251436855,1,
NVDA,2021Q4,158,0.9999905256497966,0.999998785063382,1,
NVDA,2022Q1,194,0.9999997131717308,0.9999999632179886,1,
NVDA,2022Q2,167,0.9999960485178203,0.9999994932874903,1,
NVDA,2022Q3,198,0.999999805539763,0.9999999750637588,1,
NVDA,2022Q4,182,0.9999990797972742,0.999999881999038,1,
NVDA,2023Q1,185,0.9999993124389538,0.9999999118316548,1,
NVDA,2023Q2,187,0.9999994338563635,0.9999999274018618,1,
NVDA,2023Q3,219,0.9999999747194014,0.9999999967582198,1,
NVDA,2023Q4,202,0.9999998681602251,0.9999998681602251,1,
